name,timestamp,value,endpoint,instance,job,namespace,pod,service
process_cpu_seconds_total,1609410268.392,14534.76,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609410868.392,14544.36,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609411468.392,14552.81,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609412068.392,14563.44,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609412668.392,14571.16,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609413268.392,14577.62,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609413868.392,14583.94,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609414468.392,14591.62,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609415068.392,14598.47,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609415668.392,14606.62,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609416268.392,14612.77,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609416868.392,14620.27,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609417468.392,14627.17,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609418068.392,14635.4,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609418668.392,14643.02,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609419268.392,14648.81,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609419868.392,14656.28,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609420468.392,14662.66,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609421068.392,14670.23,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609421668.392,14677.29,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609422268.392,14684.47,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609422868.392,14693.53,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609423468.392,14700.56,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609424068.392,14709.09,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609424668.392,14718.05,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609425268.392,14725.77,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609425868.392,14734.75,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609426468.392,14742.29,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609427068.392,14753.05,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609427668.392,14762.52,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609428268.392,14770.91,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609428868.392,14780.96,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
